Nome,Data,Hora,Endereço,Link
"BLOCÃO DO CACHORRÃO",03/02/2024,16:00,"RUA VICENTE RISOLA, 1382, Santa Inês","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/blocao-do-cachorrao"
"PANTHERA DISCO BLOCO",03/02/2024,16:00,"RUA MANAUS, 648, Santa Efigênia","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/panthera-disco-bloco"
"BLOCO PÃO E VIDA",03/02/2024,17:30,"RUA JOSE FALEIRO, 248, Santa Helena","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-pao-e-vida"
"CARNAFATE",04/02/2024,08:00,"RUA ZURICK, 518, Nova Suissa","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/carnafate"
"GRANDE BLOCO DO ENCONTRO - PARQUE JA",04/02/2024,08:00,"RUA GAMA CERQUEIRA, 976, Jardim América","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/grande-bloco-do-encontro-parque-ja"
"BLOQUINHO",04/02/2024,08:30,"RUA MONSENHOR HORTA, 50, Calafate","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloquinho"
"BOI ENCANTADO DAS MINAS E DAS GERAIS",04/02/2024,09:00,"RUA DA BAHIA, 1212, Centro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/boi-encantado-das-minas-e-das-gerais"
"BLOCO DAS DESLUMBRADAS",04/02/2024,09:00,"AVENIDA OTACILIO NEGRAO DE LIMA, 4220, Bandeirantes","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-das-deslumbradas"
"BLOCO BURITIS DE GUIMARÃES ROSA",04/02/2024,09:00,"RUA JUVENAL MELO SENRA, 409, Belvedere","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-buritis-de-guimaraes-rosa-15872"
"AS CHARANGUEIRAS",04/02/2024,09:00,"RUA PARAIBA, 1360, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/as-charangueiras"
"BLOCO DO CHIFRUDO",04/02/2024,09:00,"RUA SAPUCAI, 320, Centro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-chifrudo"
"BLOCO BESOURINHOS",04/02/2024,09:30,"RUA DONA MARIA IGNEZ, 30, Floresta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-besourinhos"
"BLOQUINHO DA AMOREIRA",04/02/2024,09:30,"RUA MONTES CLAROS, 1028, Anchieta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloquinho-da-amoreira"
"ME BEIJA QUE EU SOU PAGODEIRO",04/02/2024,10:00,"RUA TENENTE BRITO MELO, 1065, Barro Preto","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/me-beija-que-eu-sou-pagodeiro-16246"
"BLOCO AS PANDERISTA",04/02/2024,10:00,"RUA DAVID CAMPISTA, 42, Floresta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-as-panderista"
